itemid,priceupdatedate,itemcode,itemname,manufacturername,manufacturecountry,manufactureritemdescription,unitqty,quantity,unitofmeasure,itemprice,unitofmeasureprice
273052,2023-04-30 08:26:19,7290016416961,עוגת מוס גבינה קפולס,קפולסקי אדל בעמ,ישראל,עוגת מוס גבינה קפולס,גרמים,400.00,100 גרם,44.90,11.2250
304969,2023-05-23 10:57:34,7290011725112,עירית מהדרין ברכת דו,מרינה,,עירית מהדרין ברכת דו,"Unknown ",0.00,"יחידה   ",5.90,0.0000
288428,2023-05-30 07:56:26,7290011018184,"פיוז תה אפרסק 500 מ""",קוקה קולה,,"פיוז תה אפרסק 500 מ""",מיליליטרים,500.00,"100 מ""ל",4.90,0.9800
288235,2023-05-30 07:56:27,7290110110659,"ספרייט 330 מ""ל",,,"ספרייט 330 מ""ל",,330.00,,3.90,1.1818
288750,2023-06-11 07:50:28,7290102398669,משקה אייס קפוצ'ינו ט,טרה,,משקה אייס קפוצ'ינו ט,קילוגרמים,1.00,"ליטר    ",12.40,12.4000
287383,2023-06-12 07:45:03,7290112483768,קעריות אובלי קיסר 30,פאלאס,סין,קעריות אובלי קיסר 30,"Unknown ",0.00,"יחידה   ",26.90,0.0000
301837,2023-06-18 07:34:19,7290015350242,ברנדי שטוק 84 דבש 75,יינות סגל,ישראל,ברנדי שטוק 84 דבש 75,מיליליטרים,750.00,"100 מ""ל",75.90,10.1200
250758,2023-06-18 07:34:20,7290100702741,סוכר חום בהיר סוגת 1,סוגת,,סוכר חום בהיר סוגת 1,"פריט    ",1.00,"ק""ג     ",11.90,11.9000
266031,2023-07-24 08:24:14,7290100924631,מרכך סוד מרוכז בייבי,הנקל סוד,,מרכך סוד מרוכז בייבי,מיליליטרים,900.00,"100 מ""ל",,1.3222
305983,2023-08-01 15:17:36,7290112005519,מבשם אוויר+מכשיר איר,רקיט בנקיזר,הונגריה,מבשם אוויר+מכשיר איר,"Unknown ",0.00,"יחידה   ",54.90,0.0000
306254,2023-08-15 15:37:40,7290019302841,יין כרמל חבית 92,יקבי כרמל,ישראל,יין כרמל חבית 92,מיליליטרים,750.00,"100 מ""ל",139.90,18.6533
306274,2023-08-15 16:57:37,8593868000050,בירה סטארופרמן פחית,סטארופרמן,צכיה,בירה סטארופרמן פחית,,500.00,,11.90,2.3800
279048,2023-09-06 08:28:53,7290110568566,מארז דוריטוס גריל 10,שטראוס גרופ,ישראל,מארז דוריטוס גריל 10,גרמים,250.00,100 גרם,14.80,5.9200
307440,2023-10-22 13:57:36,811146032059,סוכריות אודלס פשקס מ,ג'ודילינג פודס קומפנ,סין,סוכריות אודלס פשקס מ,,192.00,,12.90,6.7188
307744,2023-11-06 14:37:35,7290117011980,מארז גפרורים דקורטיב,לונרן טריידינג לימיט,,מארז גפרורים דקורטיב,"Unknown ",0.00,"יחידה   ",9.90,0.0000
307832,2023-11-14 12:17:37,7290117766682,ספגטי באלי 500 גרם,טקינאק גידה,תורכיה,ספגטי באלי 500 גרם,גרמים,500.00,100 גרם,2.90,0.5800
307835,2023-11-14 14:17:34,7290004033637,לחמניות שומשום ארוכו,מאפית י את א ברמן בע,ישראל,לחמניות שומשום ארוכו,,480.00,,12.90,2.6875
307935,2023-11-20 09:37:37,7290012205699,גלי חמצמץ בצורת צבעי,דה בסט,סין,גלי חמצמץ בצורת צבעי,,240.00,,16.90,7.0417
308231,2023-12-03 10:17:37,7290112487612,צלחות לפתן פרח מנטה,פאלאס,תורכיה,צלחות לפתן פרח מנטה,"Unknown ",0.00,"יחידה   ",6.90,0.0000
224143,2023-12-10 08:59:46,7290000060781,פסטה מסולסלת אסם 500,זארה,ישראל,פסטה מסולסלת אסם 500,גרמים,500.00,100 גרם,5.70,1.1400
236149,2023-12-31 06:44:32,7290004436193,בשר מס 8 שריר קפוא ה,א. הקר,,בשר מס 8 שריר קפוא ה,קילוגרמים,1.00,"ק""ג",89.90,89.9000
308676,2024-01-04 17:18:27,7290019398264,בירה קורונה 4.5% 355,קורונה,מקסיקו,בירה קורונה 4.5% 355,מיליליטרים,355.00,"100 מ""ל",7.90,2.2254
308784,2024-01-23 08:57:37,7290114312240,מולר פרופ קציפת יוגו,טרה,ישראל,מולר פרופ קציפת יוגו,גרמים,95.00,100 גרם,5.20,5.4737
308964,2024-01-25 16:17:42,7290119772599,קוקטייל וודקה ראשן ש,יפאורה שותפות מוגבלת,,קוקטייל וודקה ראשן ש,מיליליטרים,280.00,"100 מ""ל",12.50,4.4643
224959,2024-01-28 08:36:38,7290011765415,מרכך כיף רוזמרין בוב,קוסמופארם,,מרכך כיף רוזמרין בוב,,750.00,,9.90,1.3200
237728,,7290013269911,תרסיס קוטל K333 זוחל,סנו,,תרסיס קוטל K333 זוחל,,,,26.90,3.5867
299971,2024-01-28 08:36:40,7290108352498,סנו פרש מכשיר אוטומט,,,סנו פרש מכשיר אוטומט,"Unknown ",0.00,"יחידה   ",39.90,0.0000
308971,2024-01-28 15:17:35,7290117905807,סוכריות גומי קפיצי ב,",",,סוכריות גומי קפיצי ב,גרמים,300.00,100 גרם,9.90,3.3000
308976,,7290117905869,סוכריות גומי קפיצי נ,,,סוכריות גומי קפיצי נ,,,,,
309038,2024-02-01 15:57:38,608614323746,גרעיני חמניה 400 גרם,פיצוחי זריפה,,גרעיני חמניה 400 גרם,,400.00,,19.90,4.9750
309061,2024-02-04 12:17:35,7290017084480,מארז מרשמלו ספירלה ל,שנטו גאבט פודס ושות,סין,מארז מרשמלו ספירלה ל,,360.00,,24.90,6.9167
309122,2024-02-07 14:57:38,7290108620412,יין קפיטל שער האריות,יקבי ציון,ישראל,יין קפיטל שער האריות,מיליליטרים,750.00,"100 מ""ל",54.90,7.3200
283129,2024-02-13 09:35:21,7290017084947,ממתק ג'ל חמוץ בצורת,ביוטי פוד קומפני,סין,ממתק ג'ל חמוץ בצורת,גרמים,400.00,100 גרם,29.90,7.4750
309220,2024-02-18 08:17:30,8003750938731,ליקר ביצ'רין פינה קו,וינסנזי,איטליה,ליקר ביצ'רין פינה קו,מיליליטרים,700.00,"100 מ""ל",78.90,11.2714
309262,2024-02-18 12:17:39,7290016584257,ברוקולי טרי,מרינה,ישראל,ברוקולי טרי,"Unknown ",0.00,"יחידה   ",15.90,0.0000
298917,2024-03-03 06:52:57,7290008631570,שוקיים עוף קפוא אחדו,סנטרל גלאט,,שוקיים עוף קפוא אחדו,קילוגרמים,1.00,"ק""ג",49.90,49.9000
246438,2024-03-03 06:53:02,7290006712684,דאו ספיד סטיק 24/7 כ,קולגייט פלמוליב,ארצות הברית,דאו ספיד סטיק 24/7 כ,גרמים,55.00,100 גרם,17.90,32.5455
296209,2024-03-05 07:49:42,44164267695,שמן פראפין למאור אדו,שרגא שווק ויצור נרות,ישראל,שמן פראפין למאור אדו,קילוגרמים,1.00,"ליטר    ",27.90,27.9000
309621,2024-03-11 16:17:36,3574669907392,שמפו ג'ונסון בייבי 7,גונסון אנד גונסון,איטליה,שמפו ג'ונסון בייבי 7,מיליליטרים,750.00,"100 מ""ל",19.90,2.6533
309735,2024-03-18 08:17:35,7290112487964,מארז צלחות רנסנס לבן,פאלאס,סין,מארז צלחות רנסנס לבן,"Unknown ",0.00,"יחידה   ",29.90,0.0000
309743,2024-03-18 08:37:35,7290112487957,מגוון מארז צלחות רנס,,,מגוון מארז צלחות רנס,,,,49.90,
309773,2024-03-19 08:37:36,7290112488008,מארז צלחות כתר  מרק+,,,מארז צלחות כתר  מרק+,,,,29.90,
309848,2024-03-21 12:37:44,7290019603467,גריל בשר שקית מיה 80,מיה תעשיות מזון בעמ,ישראל,גריל בשר שקית מיה 80,גרמים,80.00,100 גרם,6.90,8.6250
309898,2024-03-24 14:17:35,748322707282,לפתן פלחי מנדרינות ר,איי פוד פרודקטס,סין,לפתן פלחי מנדרינות ר,,312.00,,5.90,1.8910
298857,2024-03-25 07:53:16,43427191128,פלפל שחור טחון ליברס,פרימה,ארצות הברית,פלפל שחור טחון ליברס,,311.00,,44.90,14.4373
292235,2024-03-25 07:53:18,744664092192,תערובת לתיבול פלפל ו,,,תערובת לתיבול פלפל ו,,85.00,,21.90,25.7647
292247,,744664060191,תערובת קראנצית עם פש,,,תערובת קראנצית עם פש,,227.00,,24.90,10.9692
292245,2024-03-25 07:53:19,744664093076,תערובת תיבול לסטייק,,,תערובת תיבול לסטייק,,85.00,,22.90,26.9412
310155,2024-04-03 06:17:46,6001135009498,מי פה ליסטרין מנטה מ,גונסון אנד גונסון,איטליה,מי פה ליסטרין מנטה מ,מיליליטרים,500.00,"100 מ""ל",14.90,2.9800
310492,2024-04-16 12:57:38,7290117769140,ממתק חמוץ שטיח מונו,גלובל גידה,תורכיה,ממתק חמוץ שטיח מונו,גרמים,200.00,100 גרם,5.90,2.9500
310562,2024-04-30 10:57:36,7290018790311,קרקר בטעם בצל טופז 9,אפיפית נצרת תעשיות ב,ישראל,קרקר בטעם בצל טופז 9,,0.00,,19.90,0.0000
255657,2024-05-05 10:16:42,7290000048192,גבינה 9% תנובה 250 ג,תנובה מרכז שיתופי לש,,גבינה 9% תנובה 250 ג,,250.00,,5.50,2.2000
310666,2024-05-07 15:17:39,7290015858885,איולי עגבניות עללחם,עלית,,איולי עגבניות עללחם,,295.00,,14.90,5.0508
288996,2024-05-13 10:14:43,7290101112228,מאגדת גלידל פרי אננס,הגלידות של פלדמן,,מאגדת גלידל פרי אננס,,640.00,,24.90,3.8906
294547,,7290101113430,מאגדת גלידל ריפל שוק,,,מאגדת גלידל ריפל שוק,,312.00,,23.90,7.6603
253654,2024-05-19 07:56:52,7290102396726,מולר סימפלי אפרסק 0%,טרה,,מולר סימפלי אפרסק 0%,,150.00,,5.50,3.6667
223416,2024-05-19 07:57:07,7290000042503,חלב עמיד 3% תנובה 1,תנובה מרכז שיתופי לש,,חלב עמיד 3% תנובה 1,קילוגרמים,1.00,"ליטר    ",6.90,6.9000
292870,2024-05-19 07:57:14,7290110328221,יוגורט נטול לקטוז 3%,,,יוגורט נטול לקטוז 3%,גרמים,200.00,100 גרם,4.10,2.0500
300231,2024-05-19 07:57:15,7290110329686,משקה GO בטעם עוגיות,,,משקה GO בטעם עוגיות,מיליליטרים,340.00,"100 מ""ל",7.50,2.2059
296497,2024-05-22 07:32:57,7290110115036,פריגת מנגו 1.5 ליטר,פריגת,,פריגת מנגו 1.5 ליטר,קילוגרמים,1.50,"ליטר    ",7.90,5.2667
310968,2024-05-27 15:57:36,7290012206450,פס טעים בטעם אבטיח ט,tou biyoute,סין,פס טעים בטעם אבטיח ט,גרמים,150.00,100 גרם,14.90,9.9333
311195,2024-06-06 14:57:38,7290116933894,משקה שיבולת שועל ווי,תנובה מרכז שיתופי לש,ישראל,משקה שיבולת שועל ווי,קילוגרמים,1.00,"ליטר    ",11.50,11.5000
239652,2024-06-16 08:33:02,7290002385745,גבינה פקורינו גד במש,מחלבות גד,,גבינה פקורינו גד במש,,,"ק""ג",159.00,159.0000
305732,2024-06-16 08:33:07,7290101114161,גלידה  תות לימון פלד,הגלידות של פלדמן,,גלידה  תות לימון פלד,,2.00,"ליטר    ",19.90,9.9500
305852,,7290101113997,מאגדת טילון בטעם ריב,,,מאגדת טילון בטעם ריב,גרמים,280.00,100 גרם,16.90,6.0357
307117,2024-07-10 11:40:43,7290003751341,כנפיים עוף טרי גלאט,גלאט עוף,,כנפיים עוף טרי גלאט,קילוגרמים,1.00,"ק""ג",,16.9000
306700,2024-07-14 08:20:43,7290009001877,תפוח עץ פינק ברשת,אראל תוצרת חקלאית בע,,תפוח עץ פינק ברשת,,,,9.90,9.9000
307136,2024-07-16 07:38:10,7290117765883,אורז בסמטי  הולידרופ,סום אוברסיז,הודו,אורז בסמטי  הולידרופ,"פריט    ",5.00,"ק""ג     ",39.90,7.9800
293466,2024-07-17 08:01:44,7290017616506,"אפונה אינדירה 1 ק""ג",קי. היג' טיילור,אנגליה,"אפונה אינדירה 1 ק""ג",,1.00,,12.90,12.9000
310983,2024-07-29 08:17:47,633824151117,וודקה ואן גוך מתובלת,מזקקת קוימאנס טילבור,הולנד,וודקה ואן גוך מתובלת,קילוגרמים,,"ליטר    ",119.90,119.9000
291398,2024-08-04 07:14:58,7290015879712,תערובת איטלקית לעוגו,DFS,איטליה,תערובת איטלקית לעוגו,גרמים,500.00,100 גרם,16.90,3.3800
312142,2024-08-05 12:17:39,96619316847,נייר אלומיניום עבה 1,",",לא ידוע,נייר אלומיניום עבה 1,מטרים,152.40,מטר,149.90,0.9836
312280,2024-08-14 14:57:40,7290018810378,יין ויזן רוזה,יקב טפרברג 1870 בעמ,ישראל,יין ויזן רוזה,מיליליטרים,750.00,"100 מ""ל",39.90,5.3200
225454,2024-08-18 07:57:25,7290008423021,כמון פרג 400 גרם,תבליני הדור השלישי,,כמון פרג 400 גרם,גרמים,400.00,100 גרם,,9.9750
312606,2024-09-01 10:17:36,6974950102234,שואב אבק טינקו S7,",",לא ידוע,שואב אבק טינקו S7,"Unknown ",0.00,"יחידה   ",2999.00,0.0000
292133,2024-10-30 07:09:24,786150000281,מארז בירה לף בראון 6,בר הוגרדן,בלגיה,מארז בירה לף בראון 6,קילוגרמים,1.98,"ליטר    ",39.90,20.1515
313384,2024-11-10 12:57:38,7290019909842,מפזר חום עומד טאגו 2,",",לא ידוע,מפזר חום עומד טאגו 2,"Unknown ",0.00,"יחידה   ",34.90,0.0000
313399,2024-11-11 11:17:38,7290109924007,קרם אסטוניש פרימיום,אסטוניש,אנגליה,קרם אסטוניש פרימיום,מיליליטרים,500.00,"100 מ""ל",17.90,3.5800
299296,2024-11-24 08:22:11,7290114311038,שמנת מתוקה 32% בבקבו,טרה,ישראל,שמנת מתוקה 32% בבקבו,,250.00,,4.90,1.9600
313732,2024-11-25 13:17:38,7290019865117,תה ארל גריי קקאו ויס,ויסוצקי,,תה ארל גריי קקאו ויס,גרמים,37.50,100 גרם,14.90,39.7333
313754,2024-11-26 12:37:40,7290019635352,גבינת ריקוטה 16% במל,מחלבות גד,,גבינת ריקוטה 16% במל,,200.00,,11.90,5.9500
313759,2024-11-27 06:17:47,7290018795897,בזיליקום אדום יחידה,מרינה,,בזיליקום אדום יחידה,,150.00,,10.90,7.2667
227235,2024-11-28 08:07:47,7290008464802,מארז בירה הייניקן פח,טמפו,,מארז בירה הייניקן פח,קילוגרמים,1.98,"ליטר    ",29.90,15.1010
306327,2024-12-02 07:05:23,7290018195680,שוקולד טעמן חלב קרמל,ברנראיין איי גי,שווייץ,שוקולד טעמן חלב קרמל,גרמים,100.00,100 גרם,10.90,10.9000
268904,2024-12-02 07:05:31,5411188120742,משקה שקדים וניל אלפר,אלפרו,בלגיה,משקה שקדים וניל אלפר,קילוגרמים,1.00,"ליטר    ",10.80,10.8000
268010,2024-12-03 06:55:35,7290002157427,סינטה בקר טרי עטרה,טיבון ויל,ישראל,סינטה בקר טרי עטרה,,,"ק""ג",129.90,129.9000
313913,2024-12-04 11:37:38,7610113027684,בקרדי בריזר מנגו פסי,בקרדי מרטיני,בלגיה,בקרדי בריזר מנגו פסי,מיליליטרים,275.00,"100 מ""ל",14.50,5.2727
313979,2024-12-09 12:37:37,6102024101528,מצית טורבו  כסף/זהב,",",לא ידוע,מצית טורבו  כסף/זהב,"Unknown ",0.00,"יחידה   ",14.90,0.0000
314060,2024-12-17 13:17:37,7290117909188,"תמר מגהול 1 ק""ג",,ישראל,"תמר מגהול 1 ק""ג","פריט    ",1.00,"ק""ג     ",29.90,29.9000
314071,2024-12-18 16:37:37,7290018195796,טורטיה מקמח חיטה טעמ,לאבאליה גידה שנאי וט,תורכיה,טורטיה מקמח חיטה טעמ,גרמים,320.00,100 גרם,12.90,4.0313
281232,2024-12-22 07:28:18,7290017812052,יין אקסלנס שיראז קבר,יקבי כרמל,ישראל,יין אקסלנס שיראז קבר,מיליליטרים,750.00,"100 מ""ל",28.90,3.8533
281233,,7290017812069,יין אקסלנס ריזלינג ש,,,יין אקסלנס ריזלינג ש,,,,,
293853,,7290017812885,יין פ.קולקשיין סובינ,,,יין פ.קולקשיין סובינ,,,,43.90,5.8533
294557,2024-12-22 07:28:19,7290018294208,יין סלקטד אדום ישראל,,,יין סלקטד אדום ישראל,,,,31.90,4.2533
252113,2024-12-22 07:28:20,41390001505,רוטב סויה קיקומן 1.8,",",לא ידוע,רוטב סויה קיקומן 1.8,קילוגרמים,1.89,"ליטר    ",44.90,23.7566
314104,2024-12-22 14:17:36,7290120320314,"מרקיות אמריקאיות ח""פ",בי רייט,סין,"מרקיות אמריקאיות ח""פ","Unknown ",0.00,"יחידה   ",19.90,0.0000
314105,,7290120320321,צלחות אמריקאיות קטנו,,,צלחות אמריקאיות קטנו,,,,,
314106,,7290120320338,צלחות אמריקאיות גדול,,,צלחות אמריקאיות גדול,,,,29.90,
314107,,7290120320345,צלחות אמריקאיות ענק,,,צלחות אמריקאיות ענק,,,,39.90,
314108,,7290120320352,לפתניות אמריקאיות שק,,,לפתניות אמריקאיות שק,,,,11.90,
314255,2025-01-01 12:57:42,7290020071798,מייבש שיער גולד ליין,",",לא ידוע,מייבש שיער גולד ליין,,,,79.90,
293806,2025-01-05 12:22:47,7290003384563,ספריבס עגל חלב טרי מ,דנוור,ישראל,ספריבס עגל חלב טרי מ,קילוגרמים,1.00,"ק""ג",62.90,62.9000
314271,2025-01-07 10:57:37,8695543007924,גבינת רסטה מורטבי 15,מורטבי,תורכיה,גבינת רסטה מורטבי 15,גרמים,150.00,100 גרם,19.90,13.2667
306607,2025-01-14 08:43:18,6902023070012,קלחי תירס בוואקום לי,אראל תוצרת חקלאית בע,ישראל,קלחי תירס בוואקום לי,"Unknown ",0.00,"יחידה   ",29.90,0.0000
314373,2025-01-15 13:37:38,7290110579272,רוטב עגבניות פסטקיד,אימילאנה,איטליה,רוטב עגבניות פסטקיד,גרמים,350.00,100 גרם,10.80,3.0857
307249,2025-01-17 08:31:18,7290111930928,חטיף תפוח אדמה בטעם,מנה,ישראל,חטיף תפוח אדמה בטעם,,40.00,,3.70,9.2500
307250,,7290111930935,,,,,,,,,
314468,2025-01-23 06:17:50,7290011725686,תות שדה יח ברכת דוד,אראל תוצרת חקלאית בע,,תות שדה יח ברכת דוד,,300.00,,24.90,8.3000
252427,2025-01-26 08:36:24,7290104067198,שוקולד תפוז ספלנדיד,עלית,,שוקולד תפוז ספלנדיד,,100.00,,9.90,9.9000
314520,2025-01-27 16:57:37,7290000136431,גאמפ אפרסק צלול 1.5,טמפו,,גאמפ אפרסק צלול 1.5,קילוגרמים,1.50,"ליטר    ",6.30,4.2000
224305,2025-01-29 17:52:51,7290006681003,שרבט קרמיסימו תות לי,גלידות שטראוס,,שרבט קרמיסימו תות לי,,1.33,,21.50,16.1654
224754,2025-01-29 17:52:52,7290011081492,גלידה קרמיסימו שלושה,,,גלידה קרמיסימו שלושה,,,,,
221920,2025-01-29 17:53:10,7290000137513,חטיפי גלידה קרמיסימו,,,חטיפי גלידה קרמיסימו,גרמים,630.00,100 גרם,44.90,7.1270
225578,,7290008806985,,,,,מיליליטרים,,"100 מ""ל",,
225443,2025-02-02 09:58:13,7290009008418,שזיף אדום,אראל תוצרת חקלאית בע,,שזיף אדום,קילוגרמים,1.00,"ק""ג",14.90,14.9000
314597,2025-02-02 13:17:37,7290108622072,יין מוסקטו אדום מבעב,לוזנו,ספרד,יין מוסקטו אדום מבעב,מיליליטרים,750.00,"100 מ""ל",39.90,5.3200
314601,2025-02-02 13:37:37,7290019322320,מיקס ירקות למרק תקומ,בוסתן עשבי תיבול,ישראל,מיקס ירקות למרק תקומ,"Unknown ",0.00,"יחידה   ",16.90,0.0000
314605,2025-02-02 15:37:38,7290019779209,סוכריות טופי בטעמי פ,קנפקטיס,יוון,סוכריות טופי בטעמי פ,גרמים,500.00,100 גרם,14.90,2.9800
314606,,7290019779216,סוכריות טופי בטעמי ת,,,סוכריות טופי בטעמי ת,,,,,
300300,2025-02-02 15:46:04,7290003203581,בשר מס 9 פלאנקען לחמ,ביראניצקי,פולין,בשר מס 9 פלאנקען לחמ,קילוגרמים,1.00,"ק""ג",106.90,106.9000
314282,2025-02-02 15:48:24,7290119376001,חטיף פרה קראנצ שוקול,שטראוס גרופ,ישראל,חטיף פרה קראנצ שוקול,גרמים,100.00,100 גרם,7.50,7.5000
301752,2025-02-02 16:57:20,7290014860094,מקלוני אורז צרים מזר,ניינטי נודל קו,תאילנד,מקלוני אורז צרים מזר,,454.00,,9.90,2.1806
314633,2025-02-04 13:37:38,96619992904,מגבונים קירקלנד ללא,N-F,ארצות הברית,מגבונים קירקלנד ללא,"Unknown ",0.00,"יחידה   ",13.90,0.0000
313259,2025-02-04 14:09:32,7290001245842,נוזל רצפות מגיק מאסק,סאסאטק,ישראל,נוזל רצפות מגיק מאסק,קילוגרמים,4.00,"ליטר    ",10.90,2.7250
226557,2025-02-04 14:15:58,7290001929889,מיקס פירות יבשים ומס,דין שיווק,,מיקס פירות יבשים ומס,גרמים,600.00,100 גרם,34.90,5.8167
299335,2025-02-05 08:09:24,7290108505726,אצבעות גבינה 25% יור,אונטד גידה,תורכיה,אצבעות גבינה 25% יור,,200.00,,16.90,8.4500
299337,,7290108505740,גבינת קשקבל 25% יורו,,,גבינת קשקבל 25% יורו,,,,,
222964,2025-02-06 09:27:18,7290009003154,אבטיח,אראל תוצרת חקלאית בע,ישראל,אבטיח,קילוגרמים,1.00,"ק""ג",7.90,7.9000
299692,2025-02-07 07:10:52,7290108509816,גבינת בייבי מוצרלה 2,אונטד גידה,תורכיה,גבינת בייבי מוצרלה 2,גרמים,200.00,100 גרם,16.90,8.4500
223912,2015-01-01 00:00:00,7290005427848,מטליות לניקוי כללי ב,זינרגד,ישראל,מטליות לניקוי כללי ב,"Unknown ",0.00,"יחידה   ",18.90,0.0000
226554,,7290009069150,שקד טבעי בקליפה במשק,דין שיווק,ארצות הברית,שקד טבעי בקליפה במשק,קילוגרמים,1.00,"ק""ג",49.00,49.0000
226632,,7290000978802,עשבי תיבול במשקל,נפטון,ישראל,עשבי תיבול במשקל,,,,78.00,78.0000
226656,,7290009069471,מנגו מיובש במשקל,דין שיווק,גאנה,מנגו מיובש במשקל,,,,28.00,28.0000
226855,,7290008257008,מסרק סמיך אריסטוקרט,אריסטוקרט,סין,מסרק סמיך אריסטוקרט,"Unknown ",0.00,"יחידה   ",10.90,0.0000
237428,,7290104504228,מארז דובונים 5*20 גר,אסם,ישראל,מארז דובונים 5*20 גר,גרמים,100.00,100 גרם,12.90,12.9000
89575,2024-06-06 14:27:22,7290015381444,מבשם פרפיום רב תכלית,פרפיום,ישראל,מבשם פרפיום רב תכלית,מיליליטרים,750.00,"100 מ""ל",21.90,2.9200
82645,2024-08-18 13:23:26,7290101828792,כפפות ניטריל S פאלאס,פאלאס,תאילנד,כפפות ניטריל S פאלאס,"Unknown ",0.00,"יחידה   ",17.50,0.0000
91365,2024-09-26 13:27:30,7290112494214,קליק ביסקויט מצופה ש,יוניליוור,ישראל,קליק ביסקויט מצופה ש,גרמים,65.00,100 גרם,6.50,10.0000
804,2024-09-26 13:33:27,7290000114187,פנטסטיק סיף אורנים 4,,,פנטסטיק סיף אורנים 4,קילוגרמים,4.00,"ליטר    ",21.90,5.4750
91965,2024-11-18 17:07:27,7290117906705,תערובת תבשילים אדומי,דין שיווק,,תערובת תבשילים אדומי,גרמים,140.00,100 גרם,14.90,10.6429
91967,,7290117906729,תערובת תבשילים מרוקא,,,תערובת תבשילים מרוקא,,,,,
92315,2024-12-04 12:47:28,5010084908050,ציפוי בטעם שוקולד פא,גנרל מילס,יוון,ציפוי בטעם שוקולד פא,,400.00,,,3.7250
87560,2024-12-22 06:09:58,7290008804455,יין הסדרה האזורית רו,יקבי כרמל,ישראל,יין הסדרה האזורית רו,מיליליטרים,750.00,"100 מ""ל",49.90,6.6533
4015,2025-02-07 08:27:58,7290009008418,שזיף אדום,אראל תוצרת חקלאית בע,,שזיף אדום,קילוגרמים,1.00,"ק""ג",15.90,15.9000
2139,2015-01-01 00:00:00,7290004125578,משקה סויה אלטרנטיב 1,תנובה מרכז שיתופי לש,,משקה סויה אלטרנטיב 1,,,"ליטר    ",9.90,9.9000
2328,,7290004551926,אבקת פלאפל דרומה 1 ק,דרומה י.א.ט בעמ,,אבקת פלאפל דרומה 1 ק,"פריט    ",,"ק""ג     ",19.90,19.9000
3946,,7290008257718,רפידות הנקה אריסטוקר,אריסטוקרט,סין,רפידות הנקה אריסטוקר,"Unknown ",0.00,"יחידה   ",18.90,0.0000
26546,,7290014017009,קמח אורז ל.גלוטן רי,נטורל קייקס,ישראל,קמח אורז ל.גלוטן רי,גרמים,500.00,100 גרם,8.90,1.7800
39070,2015-10-12 15:53:32,7290019297406,מעדן דובדבן שקדיה 28,",",סין,מעדן דובדבן שקדיה 28,,284.00,,9.90,3.4859
57663,2018-08-16 09:45:17,7290015341578,עוגת דניש בטעמים שונ,אנטיקביץ,ישראל,עוגת דניש בטעמים שונ,,500.00,,7.90,1.5800
64901,2020-02-09 14:27:20,3428681000961,"קוניאק דופוי 700 מ""ל",באך גבריאלסון,צרפת,"קוניאק דופוי 700 מ""ל",מיליליטרים,700.00,"100 מ""ל",119.90,17.1286
67884,2020-08-10 14:27:21,7290108620214,יין פאלאס בלנד לבן י,יקבי ציון,ישראל,יין פאלאס בלנד לבן י,,750.00,,19.90,2.6533
74394,2021-10-06 13:07:24,693493089401,קו אנזים Q10 אקסטרה,א.מ.ב,,קו אנזים Q10 אקסטרה,"Unknown ",0.00,"יחידה   ",49.90,0.0000
76725,2022-02-17 12:32:16,4022025002100,יין בלו ווין רוזה 24,יקב רמת הגולן,,יין בלו ווין רוזה 24,מיליליטרים,750.00,"100 מ""ל",44.90,5.9867
71703,2022-03-09 09:53:31,7290013303417,יין אור הגנוז מרום ק,חבל יתיר,,יין אור הגנוז מרום ק,,,,89.90,11.9867
77322,2022-03-22 13:07:24,7290002292357,בשר מס' 7 מכסה הצלע,סירסיל,אורוגואי,בשר מס' 7 מכסה הצלע,קילוגרמים,1.00,"ק""ג",74.90,74.9000
30268,2022-04-12 07:06:39,7290000961804,דלעת,ברכת קטיף,ישראל,דלעת,"Unknown ",0.00,"יחידה   ",7.90,0.0000
70441,2022-08-22 10:11:06,7290018294017,יין כרמל חבית 148 קב,יקבי כרמל,,יין כרמל חבית 148 קב,מיליליטרים,750.00,"100 מ""ל",139.90,18.6533
79253,2022-08-23 10:47:26,7290019302438,,,,,,,,,
28160,2023-01-29 09:56:23,7290010193448,פסטרמה רומנית ג.עוף,מ ב גלאט עוף למהדרין,,פסטרמה רומנית ג.עוף,גרמים,400.00,100 גרם,32.90,8.2250
81639,2023-01-30 17:27:20,7290018091111,פיצה מעדנות מאמאמיה,תנובה,,פיצה מעדנות מאמאמיה,,510.00,,24.90,4.8824
81640,,7290018091708,,,,,,470.00,,,5.2979
63823,2023-02-01 11:25:26,7290112483089,צלחות לפתן פרח קרם ל,פאלאס,תורכיה,צלחות לפתן פרח קרם ל,"Unknown ",0.00,"יחידה   ",6.90,0.0000
68313,2023-02-06 07:35:00,70970471254,סוכריות ג'לי פירות מ,גאסט בורן,ארצות הברית,סוכריות ג'לי פירות מ,גרמים,141.00,100 גרם,10.90,7.7305
82202,2023-03-05 08:47:19,7290112486547,קערית אובלית פרח קרם,פאלאס,תורכיה,קערית אובלית פרח קרם,"Unknown ",0.00,"יחידה   ",7.90,0.0000
44549,2023-06-05 10:21:16,7290009000627,כרובית יחידה,אראל תוצרת חקלאית בע,ישראל,כרובית יחידה,,,,9.90,
84443,2023-08-06 12:47:20,4062400170307,טקילה סיירה זהב רפוס,אגדת,,טקילה סיירה זהב רפוס,מיליליטרים,700.00,"100 מ""ל",84.90,12.1286
